preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_gourmet,tem_lazer,tem_mobiliado,tem_porteira_fechada,tem_elevador,tem_cobertura,tem_garden,tem_sol_manha,tem_frente_mar,area_suspeita,preco_suspeito,idade_anuncio_dias,preco_m2,preco_m2_suspeito
1299000,Apartamento,Cariacica,Campo Grande,135,3,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
320000,Apartamento,Cariacica,Rio Branco,55,2,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False
650000,Apartamento,Cariacica,Campo Grande,102,3,2,0,True,False,True,True,True,False,False,False,False,False,False,False,False,False,,,False
550000,Apartamento,Cariacica,Rio Branco,59,3,2,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,,,False
441000,Apartamento,Cariacica,São Geraldo,63,3,2,0,True,False,False,False,True,True,False,True,False,False,False,False,False,False,,,False
1650000,Casa,Cariacica,Morada de Santa Fé,200,3,4,5,True,False,True,True,False,False,False,False,False,False,False,False,False,False,,,False
700000,Apartamento,Cariacica,Cruzeiro do Sul,152,3,3,1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,,,False
380000,Apartamento,Cariacica,São Francisco,140,3,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
200000,Apartamento,Cariacica,Morada de Santa Fé,70,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
320000,Apartamento,Cariacica,Rio Branco,54,2,1,1,False,False,False,False,True,False,False,True,False,True,False,False,False,False,,,False
1300000,Apartamento,Cariacica,Campo Grande,135,4,2,2,True,True,False,False,True,True,False,True,False,False,False,False,False,False,,,False
1300000,Apartamento,Cariacica,Campo Grande,115,3,1,2,False,True,False,False,True,True,False,True,False,False,False,False,False,False,,,False
480000,Casa,Cariacica,Campo Grande,150,2,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
360000,Apartamento,Cariacica,Morada de Santa Fé,54,2,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,,False
