preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
60000,apartamento,apartamento_padrao,Cariacica,São Francisco,33,1.0,1.0,,6,0,False,False,False,False,False,False
85000,apartamento,apartamento_padrao,Cariacica,São Francisco,54,1.0,1.0,1.0,10,43,False,False,False,False,False,False
100000,apartamento,apartamento_padrao,Cariacica,São Francisco,34,1.0,1.0,,10,45,False,False,False,False,False,False
130000,apartamento,apartamento_padrao,Cariacica,São Francisco,83,3.0,2.0,4.0,6,0,False,False,False,False,False,False
200000,apartamento,apartamento_padrao,Cariacica,São Francisco,53,2.0,1.0,1.0,10,26,False,False,False,False,False,False
380000,apartamento,apartamento_padrao,Cariacica,São Francisco,216,5.0,3.0,0.0,13,137,False,False,True,False,False,False
380000,apartamento,apartamento_padrao,Cariacica,São Francisco,140,3.0,2.0,,13,691,False,False,False,False,False,False
300000,apartamento,apartamento_padrao,Cariacica,São Geraldo,46,2.0,1.0,1.0,10,60,False,False,False,True,False,True
300000,apartamento,apartamento_padrao,Cariacica,São Geraldo,46,2.0,1.0,1.0,16,104,False,False,False,True,False,False
320000,apartamento,apartamento_padrao,Cariacica,São Geraldo,48,2.0,1.0,1.0,19,2,False,False,True,True,False,True
330000,apartamento,apartamento_padrao,Cariacica,São Geraldo,100,3.0,2.0,,16,46,False,False,True,False,False,False
349900,apartamento,apartamento_padrao,Cariacica,São Geraldo,53,2.0,1.0,,14,18,False,True,True,False,False,True
350000,apartamento,apartamento_padrao,Cariacica,São Geraldo,67,3.0,2.0,1.0,15,42,False,False,False,True,True,False
355000,apartamento,apartamento_padrao,Cariacica,São Geraldo,63,3.0,1.0,1.0,13,46,True,False,True,True,True,True
355000,apartamento,apartamento_padrao,Cariacica,São Geraldo,63,3.0,2.0,1.0,17,67,False,False,False,True,False,False
355000,apartamento,apartamento_padrao,Cariacica,São Geraldo,63,3.0,2.0,1.0,20,146,True,False,False,True,False,True
