preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,anunciante_profissional,qtd_imagens,tem_suite,tem_piscina,tem_varanda,tem_gourmet,tem_lazer,tem_mobiliado,tem_porteira_fechada,tem_elevador,tem_cobertura,tem_garden,tem_sol_manha,tem_frente_mar,area_suspeita,preco_suspeito,idade_anuncio_dias,preco_m2,preco_m2_suspeito
580077,apartamento,apartamento_padrao,Vila Velha,Itapuã,100,3,1,2,True,20,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,5800.77,False
590000,apartamento,apartamento_padrao,Vila Velha,Itapuã,74,2,2,1,True,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,7972.97,False
590000,apartamento,apartamento_padrao,Vila Velha,Itapuã,74,2,2,1,True,13,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,7972.97,False
599990,apartamento,apartamento_padrao,Vila Velha,Itapuã,85,2,2,2,True,16,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0,7058.71,False
600000,apartamento,apartamento_padrao,Vila Velha,Itapuã,79,3,2,1,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,7594.94,False
600000,apartamento,apartamento_padrao,Vila Velha,Itapuã,95,2,1,2,True,19,False,True,True,False,False,False,False,False,False,False,False,False,False,False,1,6315.79,False
600000,apartamento,apartamento_padrao,Vila Velha,Itapuã,179,3,2,1,True,20,True,False,True,False,True,False,False,False,False,False,False,False,False,False,1,3351.96,False
600000,apartamento,apartamento_padrao,Vila Velha,Itapuã,90,2,2,1,True,20,False,False,False,False,True,True,False,True,False,False,False,False,False,False,1,6666.67,False
600000,apartamento,apartamento_padrao,Vila Velha,Itapuã,79,2,1,1,True,19,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,7594.94,False
600045,apartamento,apartamento_padrao,Vila Velha,Itapuã,79,3,2,1,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,7595.51,False
640000,apartamento,apartamento_padrao,Vila Velha,Itapuã,94,3,2,1,True,20,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0,6808.51,False
657000,apartamento,apartamento_padrao,Vila Velha,Itapuã,94,3,2,1,True,20,False,False,False,False,True,True,False,True,False,False,True,True,False,False,1,6989.36,False
659900,apartamento,apartamento_padrao,Vila Velha,Itapuã,84,2,1,1,True,18,False,True,True,False,True,False,False,True,False,False,False,False,False,False,2,7855.95,False
665000,apartamento,apartamento_padrao,Vila Velha,Itapuã,68,2,1,1,True,18,False,True,False,False,True,True,False,True,False,False,False,False,False,False,2,9779.41,False
667000,apartamento,apartamento_padrao,Vila Velha,Itapuã,85,2,1,1,True,19,True,True,False,False,True,False,False,True,False,False,False,False,False,False,1,7847.06,False
679000,apartamento,apartamento_padrao,Vila Velha,Itapuã,64,2,1,1,True,8,False,True,True,False,True,False,False,False,False,False,False,False,False,False,1,10609.38,False
699000,apartamento,apartamento_padrao,Vila Velha,Itapuã,60,2,2,1,True,16,False,True,False,False,True,False,False,True,False,False,False,False,False,False,1,11650.0,False
