_row_id_base,_row_id_novo,cidade_base,cidade_novo,bairro_base,bairro_novo,tipo_imovel_base,tipo_imovel_novo,preco_venda_base,preco_venda_novo,area_m2_base,area_m2_novo,quartos,banheiros,vagas,dif_preco_abs,dif_preco_pct,dif_area_abs,dif_area_pct
772,3360,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000.0,75,75,2.0,2.0,1.0,0.0,0.0,0,0.0
772,3952,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000.0,75,75,2.0,2.0,1.0,0.0,0.0,0,0.0
773,4433,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000.0,86,86,2.0,2.0,1.0,0.0,0.0,0,0.0
774,4433,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000.0,86,86,2.0,2.0,1.0,0.0,0.0,0,0.0
775,4433,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000.0,86,86,2.0,2.0,1.0,0.0,0.0,0,0.0
776,3360,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000.0,75,75,2.0,2.0,1.0,0.0,0.0,0,0.0
776,3952,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,750000,750000.0,75,75,2.0,2.0,1.0,0.0,0.0,0,0.0
778,4598,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,790000,790000.0,100,100,3.0,2.0,1.0,0.0,0.0,0,0.0
782,4598,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,790000,790000.0,100,100,3.0,2.0,1.0,0.0,0.0,0,0.0
784,4289,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,790000,790000.0,85,85,2.0,2.0,1.0,0.0,0.0,0,0.0
788,4639,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,800000,800000.0,124,124,3.0,2.0,1.0,0.0,0.0,0,0.0
789,4639,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,800000,800000.0,124,124,3.0,2.0,1.0,0.0,0.0,0,0.0
793,4743,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,850000,850000.0,140,140,3.0,3.0,1.0,0.0,0.0,0,0.0
807,3730,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,890000,890000.0,100,100,3.0,3.0,2.0,0.0,0.0,0,0.0
811,4463,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,899000,899000.0,120,120,3.0,2.0,1.0,0.0,0.0,0,0.0
822,4682,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,950000,950000.0,100,100,3.0,2.0,1.0,0.0,0.0,0,0.0
823,4151,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,950000,950000.0,90,90,3.0,2.0,1.0,0.0,0.0,0,0.0
826,4505,Vila Velha,Vila Velha,Praia da Costa,Praia da Costa,apartamento,apartamento,950000,950000.0,130,130,3.0,2.0,1.0,0.0,0.0,0,0.0
